date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:53	67/67	------	200	untouched ('OK')	text/plain	date:Tue,%2023%20Feb%202021%2021:06:12%20GMT	http://getnajmul.com/robots.txt		(from )
22:07:53	57356/57356	------	200	untouched ('OK')	text/html	etag:W/%225c1b3e47-e00c%22	http://getnajmul.com/theme/cryptonio/index-02.html	getnajmul.com/theme/cryptonio/index-02.html	(from )
22:07:54	1150/1150	------	200	untouched ('')	image/x-icon	etag:%225c1b3eb8-47e%22	http://getnajmul.com/theme/cryptonio/images/favicon.ico	getnajmul.com/theme/cryptonio/images/favicon.ico	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:54	140937/140937	------	200	untouched ('OK')	text/css	etag:%225c1b3e5f-22689%22	http://getnajmul.com/theme/cryptonio/css/assets/bootstrap.min.css	getnajmul.com/theme/cryptonio/css/assets/bootstrap.min.css	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:54	41066/41066	------	200	untouched ('OK')	text/css	etag:%225c1b3e5d-a06a%22	http://getnajmul.com/theme/cryptonio/css/assets/font-awesome.min.css	getnajmul.com/theme/cryptonio/css/assets/font-awesome.min.css	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:54	1075/1075	------	200	untouched ('OK')	text/css	etag:%225c1b3ea6-433%22	http://getnajmul.com/theme/cryptonio/fonts/flaticon/flaticon.css	getnajmul.com/theme/cryptonio/fonts/flaticon/flaticon.css	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:54	6951/6951	------	200	untouched ('OK')	text/css	etag:%225c1b3e60-1b27%22	http://getnajmul.com/theme/cryptonio/css/assets/magnific-popup.css	getnajmul.com/theme/cryptonio/css/assets/magnific-popup.css	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:54	1710/1710	------	200	untouched ('OK')	text/css	etag:%225c1b3e5f-6ae%22	http://getnajmul.com/theme/cryptonio/css/assets/jquery.countdown.css	getnajmul.com/theme/cryptonio/css/assets/jquery.countdown.css	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:54	81372/81372	------	200	untouched ('OK')	text/css	etag:%225c1b3e5c-13ddc%22	http://getnajmul.com/theme/cryptonio/css/assets/animate.css	getnajmul.com/theme/cryptonio/css/assets/animate.css	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:54	1476/1476	------	200	untouched ('OK')	text/css	etag:%225c1b3e61-5c4%22	http://getnajmul.com/theme/cryptonio/css/assets/owl.carousel.css	getnajmul.com/theme/cryptonio/css/assets/owl.carousel.css	(from http://getnajmul.com/theme/cryptonio/index-02.html)
22:07:54	1633/1633	------	200	untouched ('OK')	text/css	etag:%225c1b3e61-661%22	http://getnajmul.com/theme/cryptonio/css/assets/owl.theme.css	getnajmul.com/theme/cryptonio/css/assets/owl.theme.css	(from http://getnajmul.com/theme/cryptonio/index-02.html)
